FIT101,LIT101,P101,P102,AIT202,AIT203,FIT201,P203,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603
1.923528,593.771842,1.0,1.0,8.431924,100.0,1.906694,1.0,1.0,1.0,10.0,1.901473,903.4305,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.714787,885.78624,1.0,1.0,1.0,1.0,1.0,7.856002,100.0,100.0,13.183587,1.720375,1.279196,0.737711,0.308216,1.0,1.0,10.0,1.180601,10.0,0.024872,1.0,1.0,1.0
1.912073,592.000387,1.0,1.0,8.435298,100.0,1.904109,1.0,1.0,1.0,10.0,1.899148,903.308944,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.712263,885.22987,1.0,1.0,1.0,1.0,1.0,7.855553,100.0,100.0,13.160629,1.72361,1.280862,0.736746,0.307951,1.0,1.0,10.0,1.172068,10.0,0.0241,1.0,1.0,1.0
1.92453,592.488745,1.0,1.0,8.433252,100.0,1.898154,1.0,1.0,1.0,10.0,1.890731,904.919751,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.713384,885.018556,1.0,1.0,1.0,1.0,1.0,7.855331,100.0,100.0,13.226633,1.722499,1.280762,0.738113,0.308111,1.0,1.0,10.0,1.169212,10.0,0.02253,1.0,1.0,1.0
1.925653,593.142402,1.0,1.0,8.433505,100.0,1.889728,1.0,1.0,1.0,10.0,1.914174,904.191167,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.713526,885.75137,1.0,1.0,1.0,1.0,1.0,7.855716,100.0,100.0,13.254993,1.724335,1.280882,0.73804,0.307809,1.0,1.0,10.0,1.176187,10.0,0.02587,1.0,1.0,1.0
1.922968,594.074163,1.0,1.0,8.432217,100.0,1.925143,1.0,1.0,1.0,10.0,1.894507,903.919109,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.713856,885.353673,1.0,1.0,1.0,1.0,1.0,7.854636,100.0,100.0,12.991972,1.722884,1.280367,0.737517,0.308297,1.0,1.0,10.0,1.181159,10.0,0.025434,1.0,1.0,1.0
1.914421,592.302494,1.0,1.0,8.432148,100.0,1.901749,1.0,1.0,1.0,10.0,1.878078,903.373004,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.713682,884.062729,1.0,1.0,1.0,1.0,1.0,7.855174,100.0,100.0,13.149263,1.724045,1.279653,0.737451,0.308048,1.0,1.0,10.0,1.177295,10.0,0.024505,1.0,1.0,1.0
1.90189,593.421158,1.0,1.0,8.430404,100.0,1.905399,1.0,1.0,1.0,10.0,1.902952,903.586105,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.712999,884.727234,1.0,1.0,1.0,1.0,1.0,7.854756,100.0,100.0,13.236795,1.723224,1.280596,0.737558,0.308227,1.0,1.0,10.0,1.173559,10.0,0.025911,1.0,1.0,1.0
1.91066,590.698852,1.0,1.0,8.431438,100.0,1.891277,1.0,1.0,1.0,10.0,1.89827,902.728225,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.712014,886.338775,1.0,1.0,1.0,1.0,1.0,7.854328,100.0,100.0,13.143836,1.7232,1.280402,0.736472,0.307954,1.0,1.0,10.0,1.177052,10.0,0.024748,1.0,1.0,1.0
1.918165,590.530771,1.0,1.0,8.432249,100.0,1.899291,1.0,1.0,1.0,10.0,1.887,902.610803,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.713895,884.601278,1.0,1.0,1.0,1.0,1.0,7.855638,100.0,100.0,13.29775,1.721977,1.279746,0.737592,0.308137,1.0,1.0,10.0,1.171538,10.0,0.02298,1.0,1.0,1.0
1.929615,590.517885,1.0,1.0,8.431955,100.0,1.884234,1.0,1.0,1.0,10.0,1.908559,902.160329,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.711306,884.588162,1.0,1.0,1.0,1.0,1.0,7.855899,100.0,100.0,13.135859,1.722411,1.280394,0.737717,0.307757,1.0,1.0,10.0,1.174431,10.0,0.023312,1.0,1.0,1.0
1.937111,590.711789,1.0,1.0,8.432474,100.0,1.898976,1.0,1.0,1.0,10.0,1.890128,903.439398,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.712205,883.508788,1.0,1.0,1.0,1.0,1.0,7.855181,100.0,100.0,13.07375,1.721974,1.279831,0.737391,0.307713,1.0,1.0,10.0,1.172993,10.0,0.025264,1.0,1.0,1.0
1.917923,589.129443,1.0,1.0,8.433138,100.0,1.883093,1.0,1.0,1.0,10.0,1.878984,901.234813,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.713341,882.588791,1.0,1.0,1.0,1.0,1.0,7.854805,100.0,100.0,13.068574,1.72252,1.279625,0.736745,0.307771,1.0,1.0,10.0,1.174019,10.0,0.022934,1.0,1.0,1.0
1.899368,588.838215,1.0,1.0,8.431952,100.0,1.880005,1.0,1.0,1.0,10.0,1.886003,902.582389,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.710835,883.291712,1.0,1.0,1.0,1.0,1.0,7.854288,100.0,100.0,13.01066,1.721561,1.280134,0.736775,0.3076,1.0,1.0,10.0,1.175069,10.0,0.024064,1.0,1.0,1.0
1.918395,589.316488,1.0,1.0,8.429871,100.0,1.876694,1.0,1.0,1.0,10.0,1.893686,903.128883,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.71102,883.545923,1.0,1.0,1.0,1.0,1.0,7.854824,100.0,100.0,13.104349,1.720496,1.278574,0.736566,0.307629,1.0,1.0,10.0,1.170587,10.0,0.022544,1.0,1.0,1.0
1.8892,591.134664,1.0,1.0,8.431079,100.0,1.887256,1.0,1.0,1.0,10.0,1.881848,900.798013,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.708554,882.230343,1.0,1.0,1.0,1.0,1.0,7.855187,100.0,100.0,13.075156,1.720298,1.27814,0.735889,0.307405,1.0,1.0,10.0,1.173036,10.0,0.021185,1.0,1.0,1.0
1.895104,585.80363,1.0,1.0,8.431034,100.0,1.876243,1.0,1.0,1.0,10.0,1.87007,901.694908,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.710746,883.389326,1.0,1.0,1.0,1.0,1.0,7.853447,100.0,100.0,12.997488,1.719973,1.279203,0.735953,0.307278,1.0,1.0,10.0,1.171737,10.0,0.019839,1.0,1.0,1.0
1.875809,588.876486,1.0,1.0,8.431142,100.0,1.853627,1.0,1.0,1.0,10.0,1.872209,899.939469,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.710124,884.211704,1.0,1.0,1.0,1.0,1.0,7.853796,100.0,100.0,12.892541,1.718722,1.276225,0.735481,0.307039,1.0,1.0,10.0,1.17146,10.0,0.017969,1.0,1.0,1.0
1.877751,587.257039,1.0,1.0,8.42819,100.0,1.841402,1.0,1.0,1.0,10.0,1.8706,900.353608,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.7071,883.243204,1.0,1.0,1.0,1.0,1.0,7.854102,100.0,100.0,12.857827,1.720624,1.276189,0.735418,0.30724,1.0,1.0,10.0,1.168176,10.0,0.020114,1.0,1.0,1.0
1.864046,591.098036,1.0,1.0,8.430308,100.0,1.858277,1.0,1.0,1.0,10.0,1.846594,899.316702,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.705921,881.644943,1.0,1.0,1.0,1.0,1.0,7.85317,100.0,100.0,12.926538,1.716935,1.2768,0.734418,0.306994,1.0,1.0,10.0,1.169512,10.0,0.016095,1.0,1.0,1.0
1.884748,588.037978,1.0,1.0,8.428076,100.0,1.853574,1.0,1.0,1.0,10.0,1.854246,898.5769,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.708288,880.706055,1.0,1.0,1.0,1.0,1.0,7.852561,100.0,100.0,12.859793,1.717268,1.277059,0.734988,0.3069,1.0,1.0,10.0,1.165577,10.0,0.015245,1.0,1.0,1.0
1.85237,587.783187,1.0,1.0,8.427512,100.0,1.829847,1.0,1.0,1.0,10.0,1.855219,899.072804,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.706917,880.655724,1.0,1.0,1.0,1.0,1.0,7.853246,100.0,100.0,12.743428,1.714848,1.276178,0.734854,0.306686,1.0,1.0,10.0,1.160584,10.0,0.015947,1.0,1.0,1.0
1.858552,586.545724,1.0,1.0,8.426446,100.0,1.831664,1.0,1.0,1.0,10.0,1.838748,898.345485,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.706903,880.616067,1.0,1.0,1.0,1.0,1.0,7.852137,100.0,100.0,12.77019,1.716261,1.27425,0.73384,0.306908,1.0,1.0,10.0,1.165689,10.0,0.016584,1.0,1.0,1.0
1.834579,586.038798,1.0,1.0,8.426977,100.0,1.820383,1.0,1.0,1.0,10.0,1.839752,899.149523,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.705322,879.782307,1.0,1.0,1.0,1.0,1.0,7.852424,100.0,100.0,12.800589,1.716217,1.275349,0.734516,0.306606,1.0,1.0,10.0,1.160052,10.0,0.016046,1.0,1.0,1.0
1.8343,589.093555,1.0,1.0,8.426827,100.0,1.834641,1.0,1.0,1.0,10.0,1.823906,897.836646,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.704813,879.759672,1.0,1.0,1.0,1.0,1.0,7.8518,100.0,100.0,12.85829,1.714468,1.274553,0.734155,0.306196,1.0,1.0,10.0,1.158515,10.0,0.012388,1.0,1.0,1.0
1.848405,587.052087,1.0,1.0,8.426372,100.0,1.806179,1.0,1.0,1.0,10.0,1.833907,898.172585,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.7059,880.049368,1.0,1.0,1.0,1.0,1.0,7.851286,100.0,100.0,12.839123,1.715854,1.273551,0.733008,0.30638,1.0,1.0,10.0,1.157224,10.0,0.013153,1.0,1.0,1.0
1.818325,587.386888,1.0,1.0,8.42433,100.0,1.798309,1.0,1.0,1.0,10.0,1.819892,897.026784,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.70377,878.515957,1.0,1.0,1.0,1.0,1.0,7.851859,100.0,100.0,12.731129,1.712444,1.273721,0.732659,0.306335,1.0,1.0,10.0,1.155054,10.0,0.011814,1.0,1.0,1.0
1.817343,585.763768,1.0,1.0,8.423609,100.0,1.791774,1.0,1.0,1.0,10.0,1.808909,898.150881,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.70275,878.078494,1.0,1.0,1.0,1.0,1.0,7.850509,100.0,100.0,12.63207,1.716407,1.273304,0.732686,0.306066,1.0,1.0,10.0,1.157581,10.0,0.013543,1.0,1.0,1.0
1.807356,585.654981,1.0,1.0,8.423366,100.0,1.794085,1.0,1.0,1.0,10.0,1.80421,897.377792,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.703919,881.113122,1.0,1.0,1.0,1.0,1.0,7.850981,100.0,100.0,12.544487,1.713796,1.273691,0.732736,0.305651,1.0,1.0,10.0,1.151388,10.0,0.011168,1.0,1.0,1.0
1.796563,583.239663,1.0,1.0,8.425043,100.0,1.803001,1.0,1.0,1.0,10.0,1.811539,896.066105,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.703098,877.273991,1.0,1.0,1.0,1.0,1.0,7.85103,100.0,100.0,12.634489,1.713266,1.272605,0.732468,0.306083,1.0,1.0,10.0,1.155051,10.0,0.005804,1.0,1.0,1.0
1.799548,584.327403,1.0,1.0,8.423827,100.0,1.79537,1.0,1.0,1.0,10.0,1.811727,897.289054,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.700676,877.337071,1.0,1.0,1.0,1.0,1.0,7.851364,100.0,100.0,12.632566,1.712181,1.272077,0.732809,0.305364,1.0,1.0,10.0,1.152141,10.0,0.008213,1.0,1.0,1.0
1.809554,584.764865,1.0,1.0,8.422569,100.0,1.806032,1.0,1.0,1.0,10.0,1.81548,896.210919,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.699885,878.070922,1.0,1.0,1.0,1.0,1.0,7.850136,100.0,100.0,12.40361,1.711357,1.271475,0.732479,0.30583,1.0,1.0,10.0,1.152107,10.0,0.010681,1.0,1.0,1.0
1.766084,581.762743,1.0,1.0,8.420681,100.0,1.773786,1.0,1.0,1.0,10.0,1.791261,894.659447,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.70109,878.401361,1.0,1.0,1.0,1.0,1.0,7.850493,100.0,100.0,12.470495,1.711213,1.27041,0.732065,0.305711,1.0,1.0,10.0,1.146773,10.0,0.007422,1.0,1.0,1.0
1.793587,584.011425,1.0,1.0,8.420774,100.0,1.785819,1.0,1.0,1.0,10.0,1.7978,896.373482,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.699457,877.482612,1.0,1.0,1.0,1.0,1.0,7.850958,100.0,100.0,12.371982,1.709674,1.271776,0.73257,0.305421,1.0,1.0,10.0,1.144832,10.0,0.005919,1.0,1.0,1.0
1.774167,583.218401,1.0,1.0,8.421516,100.0,1.777916,1.0,1.0,1.0,10.0,1.796199,896.286871,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.700902,878.210644,1.0,1.0,1.0,1.0,1.0,7.849792,100.0,100.0,12.395576,1.710424,1.2724,0.731331,0.305121,1.0,1.0,10.0,1.142572,10.0,0.005464,1.0,1.0,1.0
1.779027,583.794328,1.0,1.0,8.421871,100.0,1.77205,1.0,1.0,1.0,10.0,1.79082,897.324686,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.697819,880.54941,1.0,1.0,1.0,1.0,1.0,7.85026,100.0,100.0,12.439993,1.709762,1.270435,0.732112,0.305657,1.0,1.0,10.0,1.144374,10.0,0.007496,1.0,1.0,1.0
1.762675,581.477245,1.0,1.0,8.422345,100.0,1.774594,1.0,1.0,1.0,10.0,1.795441,897.31209,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.699083,877.453957,1.0,1.0,1.0,1.0,1.0,7.849343,100.0,100.0,12.322823,1.708923,1.269822,0.731114,0.305661,1.0,1.0,10.0,1.144901,10.0,0.005536,1.0,1.0,1.0
1.737522,583.294648,1.0,1.0,8.421277,100.0,1.773669,1.0,1.0,1.0,10.0,1.81039,896.533519,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.698762,878.57009,1.0,1.0,1.0,1.0,1.0,7.849208,100.0,100.0,12.327398,1.708694,1.269918,0.731831,0.305523,1.0,1.0,10.0,1.143324,10.0,0.005592,1.0,1.0,1.0
1.786536,584.14941,1.0,1.0,8.420949,100.0,1.757277,1.0,1.0,1.0,10.0,1.783264,896.145095,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.699013,878.845459,1.0,1.0,1.0,1.0,1.0,7.849547,100.0,100.0,12.300547,1.710231,1.270485,0.731003,0.305288,1.0,1.0,10.0,1.139291,10.0,0.004496,1.0,1.0,1.0
1.770015,581.813246,1.0,1.0,8.420435,100.0,1.735877,1.0,1.0,1.0,10.0,1.784183,896.154754,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.700081,878.04182,1.0,1.0,1.0,1.0,1.0,7.848718,100.0,100.0,12.414434,1.709573,1.269962,0.732014,0.305137,1.0,1.0,10.0,1.140291,10.0,0.004917,1.0,1.0,1.0
1.764986,582.648664,1.0,1.0,8.419315,100.0,1.768027,1.0,1.0,1.0,10.0,1.775864,895.928494,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.697737,877.675151,1.0,1.0,1.0,1.0,1.0,7.850204,100.0,100.0,12.292723,1.709028,1.269781,0.731609,0.305133,1.0,1.0,10.0,1.140523,10.0,0.005496,1.0,1.0,1.0
1.789935,582.836308,1.0,1.0,8.419412,100.0,1.778683,1.0,1.0,1.0,10.0,1.791183,896.976455,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.699026,876.934867,1.0,1.0,1.0,1.0,1.0,7.849094,100.0,100.0,12.340606,1.71012,1.2686,0.73175,0.305209,1.0,1.0,10.0,1.138521,10.0,0.005036,1.0,1.0,1.0
1.788551,583.249594,1.0,1.0,8.420241,100.0,1.762292,1.0,1.0,1.0,10.0,1.789753,897.024452,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.700147,878.674744,1.0,1.0,1.0,1.0,1.0,7.849136,100.0,100.0,12.309167,1.708282,1.270707,0.730888,0.305573,1.0,1.0,10.0,1.142009,10.0,0.004263,1.0,1.0,1.0
1.764665,584.916221,1.0,1.0,8.42055,100.0,1.756002,1.0,1.0,1.0,10.0,1.775445,897.235714,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.70011,878.454473,1.0,1.0,1.0,1.0,1.0,7.849628,100.0,100.0,12.346822,1.708379,1.270606,0.731777,0.305554,1.0,1.0,10.0,1.136121,10.0,0.006205,1.0,1.0,1.0
1.755946,582.872826,1.0,1.0,8.421056,100.0,1.766487,1.0,1.0,1.0,10.0,1.784636,894.378641,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.700415,876.453839,1.0,1.0,1.0,1.0,1.0,7.849638,100.0,100.0,12.280058,1.710779,1.269894,0.732172,0.305396,1.0,1.0,10.0,1.138231,10.0,0.005618,1.0,1.0,1.0
1.771266,581.824382,1.0,1.0,8.419468,100.0,1.772093,1.0,1.0,1.0,10.0,1.782959,897.253488,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.69898,876.878188,1.0,1.0,1.0,1.0,1.0,7.849304,100.0,100.0,12.300656,1.710686,1.271162,0.731086,0.305686,1.0,1.0,10.0,1.141047,10.0,0.006511,1.0,1.0,1.0
1.789841,584.966135,1.0,1.0,8.418936,100.0,1.776952,1.0,1.0,1.0,10.0,1.784056,896.52087,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.701927,879.180691,1.0,1.0,1.0,1.0,1.0,7.849377,100.0,100.0,12.335148,1.709234,1.270658,0.731375,0.305704,1.0,1.0,10.0,1.139856,10.0,0.006136,1.0,1.0,1.0
1.790833,584.778408,1.0,1.0,8.421599,100.0,1.785076,1.0,1.0,1.0,10.0,1.800395,896.446858,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.699862,878.816264,1.0,1.0,1.0,1.0,1.0,7.849202,100.0,100.0,12.32021,1.711173,1.2707,0.731681,0.305774,1.0,1.0,10.0,1.138025,10.0,0.004765,1.0,1.0,1.0
1.769025,582.283992,1.0,1.0,8.421632,100.0,1.775533,1.0,1.0,1.0,10.0,1.790015,896.945189,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.702811,877.1096,1.0,1.0,1.0,1.0,1.0,7.849505,100.0,100.0,12.332711,1.710706,1.270597,0.731384,0.305641,1.0,1.0,10.0,1.135791,10.0,0.008445,1.0,1.0,1.0
1.809294,584.525907,1.0,1.0,8.418239,100.0,1.783807,1.0,1.0,1.0,10.0,1.801692,896.102406,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.700751,878.243256,1.0,1.0,1.0,1.0,1.0,7.850725,100.0,100.0,12.432035,1.712224,1.272253,0.731803,0.305496,1.0,1.0,10.0,1.142627,10.0,0.007318,1.0,1.0,1.0
1.785196,584.502742,1.0,1.0,8.419357,100.0,1.777346,1.0,1.0,1.0,10.0,1.784534,897.88798,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.700669,878.511705,1.0,1.0,1.0,1.0,1.0,7.850659,100.0,100.0,12.552413,1.71205,1.271333,0.732021,0.305865,1.0,1.0,10.0,1.14432,10.0,0.008216,1.0,1.0,1.0
1.816875,584.187405,1.0,1.0,8.420539,100.0,1.784142,1.0,1.0,1.0,10.0,1.817924,897.687805,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.700602,877.765632,1.0,1.0,1.0,1.0,1.0,7.849363,100.0,100.0,12.420326,1.712314,1.272171,0.732159,0.305691,1.0,1.0,10.0,1.141076,10.0,0.009539,1.0,1.0,1.0
1.804637,585.041142,1.0,1.0,8.422955,100.0,1.781485,1.0,1.0,1.0,10.0,1.820429,898.370058,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.702451,879.7146,1.0,1.0,1.0,1.0,1.0,7.851016,100.0,100.0,12.516688,1.709993,1.272761,0.732953,0.305843,1.0,1.0,10.0,1.139041,10.0,0.012109,1.0,1.0,1.0
1.797078,584.293503,1.0,1.0,8.423085,100.0,1.817679,1.0,1.0,1.0,10.0,1.819076,897.925176,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.703008,878.729551,1.0,1.0,1.0,1.0,1.0,7.850107,100.0,100.0,12.431498,1.713174,1.273083,0.732395,0.306199,1.0,1.0,10.0,1.142436,10.0,0.008944,1.0,1.0,1.0
1.8083,583.236346,1.0,1.0,8.422532,100.0,1.800452,1.0,1.0,1.0,10.0,1.807087,897.269558,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.702626,878.234943,1.0,1.0,1.0,1.0,1.0,7.850695,100.0,100.0,12.561208,1.711953,1.272849,0.732156,0.306095,1.0,1.0,10.0,1.14322,10.0,0.013044,1.0,1.0,1.0
1.820675,585.773444,1.0,1.0,8.422908,100.0,1.805167,1.0,1.0,1.0,10.0,1.818583,898.759065,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.705418,880.76182,1.0,1.0,1.0,1.0,1.0,7.85009,100.0,100.0,12.519376,1.71256,1.272787,0.732884,0.306088,1.0,1.0,10.0,1.147558,10.0,0.009945,1.0,1.0,1.0
1.814139,586.143326,1.0,1.0,8.424113,100.0,1.801431,1.0,1.0,1.0,10.0,1.826379,896.154601,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.701655,877.48594,1.0,1.0,1.0,1.0,1.0,7.851681,100.0,100.0,12.598412,1.711691,1.274194,0.733404,0.306368,1.0,1.0,10.0,1.145038,10.0,0.011643,1.0,1.0,1.0
1.807931,586.697811,1.0,1.0,8.423584,100.0,1.809295,1.0,1.0,1.0,10.0,1.84127,898.080768,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.704467,879.851277,1.0,1.0,1.0,1.0,1.0,7.850893,100.0,100.0,12.679061,1.715794,1.27347,0.733401,0.306048,1.0,1.0,10.0,1.148538,10.0,0.01288,1.0,1.0,1.0
1.827983,584.064465,1.0,1.0,8.425087,100.0,1.809545,1.0,1.0,1.0,10.0,1.820772,897.664968,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.702969,880.04695,1.0,1.0,1.0,1.0,1.0,7.851419,100.0,100.0,12.684438,1.714946,1.274483,0.734246,0.306574,1.0,1.0,10.0,1.147971,10.0,0.011324,1.0,1.0,1.0
1.835827,586.00675,1.0,1.0,8.425328,100.0,1.827727,1.0,1.0,1.0,10.0,1.848668,899.10654,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.70395,878.689752,1.0,1.0,1.0,1.0,1.0,7.851889,100.0,100.0,12.646219,1.716353,1.273162,0.733711,0.306554,1.0,1.0,10.0,1.143545,10.0,0.014409,1.0,1.0,1.0
1.835941,586.70085,1.0,1.0,8.426218,100.0,1.82247,1.0,1.0,1.0,10.0,1.834019,899.163813,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.705124,880.34412,1.0,1.0,1.0,1.0,1.0,7.851537,100.0,100.0,12.832146,1.715631,1.275118,0.734367,0.30636,1.0,1.0,10.0,1.149235,10.0,0.015551,1.0,1.0,1.0
1.858146,586.896005,1.0,1.0,8.425813,100.0,1.832476,1.0,1.0,1.0,10.0,1.846314,898.863883,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.705391,881.12129,1.0,1.0,1.0,1.0,1.0,7.852373,100.0,100.0,12.654875,1.715746,1.275031,0.733719,0.306748,1.0,1.0,10.0,1.155026,10.0,0.014259,1.0,1.0,1.0
